id,department,classification,municipality,municipalCapital,latitude,longitude,altitude,northCoordinate,eastCoordinate,origin
63,ANTIOQUIA,MUNICIPIO,GRANADA,GRANADA,N 6° 8'49{COM},W75°11'18{COM},2075,1171302,877415,BOGOTA
64,ANTIOQUIA,MUNICIPIO,GUADALUPE,GUADALUPE,N 6°49' 3{COM},W75°14'39{COM},1725,1245486,871403,BOGOTA
65,ANTIOQUIA,MUNICIPIO,GUARNE,GUARNE,N 6°16'57{COM},W75°26'50{COM},2138,1186363,848791,BOGOTA
66,ANTIOQUIA,MUNICIPIO,GUATAPÉ,GUATAPE,N 6°14'13{COM},W75° 9'50{COM},1891,1181251,880141,BOGOTA
67,ANTIOQUIA,MUNICIPIO,HELICONIA,HELICONIA,N 6°12'40{COM},W75°44' 5{COM},1450,1178460,1149003,OESTE
68,ANTIOQUIA,MUNICIPIO,HISPANIA,HISPANIA,N 5°48' 8{COM},W75°54'42{COM},960,1133186,1129512,OESTE
69,ANTIOQUIA,MUNICIPIO,ITAGÜÍ,ITAGÜI,N 6°10'23{COM},W75°36'48{COM},1578,1174286,1162454,OESTE
70,ANTIOQUIA,MUNICIPIO,ITUANGO,ITUANGO,N 7°10'23{COM},W75°46'16{COM},1750,1284859,1144691,OESTE
71,ANTIOQUIA,MUNICIPIO,JARDÍN,JARDIN,N 5°36' 5{COM},W75°49'22{COM},1750,1110993,1139408,OESTE
72,ANTIOQUIA,MUNICIPIO,JERICÓ,JERICO,N 5°47'40{COM},W75°47'24{COM},1975,1132355,1142992,OESTE
73,ANTIOQUIA,MUNICIPIO,LA CEJA,LA CEJA,N 6° 2' 2{COM},W75°26' 8{COM},2143,1158859,850012,BOGOTA
74,ANTIOQUIA,MUNICIPIO,LA ESTRELLA,LA ESTRELLA,N 6° 9'38{COM},W75°38'49{COM},1764,1172893,1158736,OESTE
75,ANTIOQUIA,MUNICIPIO,LA PINTADA,LA PINTADA,N 5°45' 5{COM},W75°36'36{COM},592,1127641,1162947,OESTE
76,ANTIOQUIA,MUNICIPIO,LA UNION,LA UNION,N 5°58'39{COM},W75°21'54{COM},2472,1152602,857811,BOGOTA
77,ANTIOQUIA,MUNICIPIO,LIBORINA,LIBORINA,N 6°40'59{COM},W75°48'58{COM},750,1230643,1139864,OESTE
78,ANTIOQUIA,MUNICIPIO,MACEO,MACEO,N 6°33'16{COM},W74°47'26{COM},1100,1216295,921511,BOGOTA
79,ANTIOQUIA,MUNICIPIO,MARINILLA,MARINILLA,N 6°10'37{COM},W75°20'22{COM},2088,1174657,860693,BOGOTA
80,ANTIOQUIA,MUNICIPIO,MONTEBELLO,MONTEBELLO,N 5°56'53{COM},W75°31'39{COM},2200,1149390,839805,BOGOTA
81,ANTIOQUIA,MUNICIPIO,MURINDÓ,MURINDO,N 6°59'27{COM},W76°45'25{COM},25,1264513,1035800,OESTE
82,ANTIOQUIA,MUNICIPIO,MUTATÁ,MUTATA,N 7°14'51{COM},W76°26'22{COM},132,1292936,1070846,OESTE
83,ANTIOQUIA,MUNICIPIO,NARIÑO,NARIÑO,N 5°36'39{COM},W75°10'44{COM},1661,1112002,878344,BOGOTA
84,ANTIOQUIA,MUNICIPIO,NECHÍ,NECHI,N 8° 5'48{COM},W74°46'33{COM},35,1386865,923403,BOGOTA
85,ANTIOQUIA,MUNICIPIO,NECOCLÍ,NECOCLI,N 8°25'36{COM},W76°47'23{COM},6,1423309,1032069,OESTE
86,ANTIOQUIA,MUNICIPIO,OLAYA,OLAYA,N 6°37'48{COM},W75°49' 1{COM},400,1224774,1139787,OESTE
87,ANTIOQUIA,MUNICIPIO,PEÑOL,PEÑOL,N 6°13'38{COM},W75°13'23{COM},1891,1180189,873590,BOGOTA
