id,indicatorId,initialNumber,finalNumber,company,ndc
96064,1738,8031700,8031799,(DISPONIBLE),8
96065,1738,9159500,9159999,(DISPONIBLE),8
96066,910,7815000,7815499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96067,910,8034800,8034899,(DISPONIBLE),8
96068,910,9188500,9189499,(DISPONIBLE),8
96069,1739,7817000,7817999,(DISPONIBLE),8
96070,1739,8036100,8036199,(DISPONIBLE),8
96071,906,7820000,7820499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96072,906,7821000,7822999,(DISPONIBLE),8
96073,906,8034200,8034299,(DISPONIBLE),8
96074,906,9182000,9182999,(DISPONIBLE),8
96075,870,7825000,7825999,(DISPONIBLE),8
96076,870,7895000,7895499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96077,870,8030100,8030199,(DISPONIBLE),8
96078,870,9145000,9145999,(DISPONIBLE),8
96079,1620,7827000,7827999,(DISPONIBLE),8
96080,1620,7897000,7897999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96081,1620,8029400,8029499,(DISPONIBLE),8
96082,904,7830000,7831999,(DISPONIBLE),8
96083,904,7880000,7881999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96084,904,9181000,9181999,(DISPONIBLE),8
96085,850,7833000,7834999,(DISPONIBLE),8
96086,850,7892000,7892499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96087,850,8027200,8027299,(DISPONIBLE),8
96088,850,9121500,9122499,(DISPONIBLE),8
96089,844,7835000,7836999,(DISPONIBLE),8
96090,844,7885000,7885499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96091,844,7886000,7886999,(DISPONIBLE),8
96092,844,8026200,8026299,(DISPONIBLE),8
96093,844,9113000,9113999,(DISPONIBLE),8
96094,896,7837000,7837999,(DISPONIBLE),8
96095,896,7894000,7894499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96096,896,8033200,8033299,(DISPONIBLE),8
96097,896,9173500,9174499,(DISPONIBLE),8
96098,739,7838000,7838299,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96099,739,7838300,7838999,(DISPONIBLE),8
96100,739,8028000,8028099,(DISPONIBLE),8
96101,739,9127500,9128499,(DISPONIBLE),8
96102,1740,7840000,7840999,(DISPONIBLE),8
96103,1740,8026600,8026699,(DISPONIBLE),8
96104,1740,9116500,9116999,(DISPONIBLE),8
96105,1741,7845000,7845999,(DISPONIBLE),8
96106,1741,8032200,8032299,(DISPONIBLE),8
96107,1741,9163500,9163999,(DISPONIBLE),8
96108,1742,7846000,7846999,(DISPONIBLE),8
96109,1742,8031900,8031999,(DISPONIBLE),8
96110,1742,9161000,9161499,(DISPONIBLE),8
96111,884,7847000,7847999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96112,884,8031600,8031699,(DISPONIBLE),8
96113,884,9158500,9159499,(DISPONIBLE),8
96114,1743,7849000,7849999,(DISPONIBLE),8
96115,1743,8029800,8029899,(DISPONIBLE),8
96116,1743,9143500,9143999,(DISPONIBLE),8
96117,883,7850000,7854999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96118,883,7855000,7856199,TELMEX COLOMBIA S.A.,8
96119,883,7856200,7859999,(DISPONIBLE),8
96120,883,7869000,7869999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96121,883,9157500,9157599,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96122,883,9157600,9158499,(DISPONIBLE),8
96123,900,7860000,7861999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96124,900,7862000,7862999,(DISPONIBLE),8
96125,900,8033700,8033799,(DISPONIBLE),8
96126,900,9177500,9178499,(DISPONIBLE),8
96127,861,7863000,7863499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96128,861,8028800,8028899,(DISPONIBLE),8
96129,861,9134500,9134999,(DISPONIBLE),8
96130,1744,7864000,7864999,(DISPONIBLE),8
96131,1744,8026100,8026199,(DISPONIBLE),8
96132,1744,9112500,9112999,(DISPONIBLE),8
96133,1619,7865000,7865999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96134,1619,7866000,7866199,TELMEX COLOMBIA S.A.,8
96135,1619,8032000,8032099,(DISPONIBLE),8
96136,1619,9161500,9162499,(DISPONIBLE),8
96137,842,7870000,7870999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96138,175,7871000,7871999,(DISPONIBLE),8
96139,842,8025900,8025999,(DISPONIBLE),8
96140,842,9111000,9111099,(DISPONIBLE),8
96141,909,7873000,7873499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96142,909,7883000,7883999,(DISPONIBLE),8
96143,909,8034600,8034699,(DISPONIBLE),8
96144,909,9186500,9187499,(DISPONIBLE),8
96145,905,7874000,7874999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96146,905,7875000,7875999,(DISPONIBLE),8
96147,905,8034300,8034399,(DISPONIBLE),8
96148,905,9183000,9183999,(DISPONIBLE),8
96149,846,7877000,7877499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96150,846,8026900,8026999,(DISPONIBLE),8
96151,846,9118500,9118999,(DISPONIBLE),8
96152,913,7878000,7878999,(DISPONIBLE),8
96153,913,7879000,7879499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96154,913,8035000,8035099,(DISPONIBLE),8
96155,913,9191000,9191999,(DISPONIBLE),8
96156,859,7884000,7884499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96157,859,8028600,8028699,(DISPONIBLE),8
96158,859,9133000,9133499,(DISPONIBLE),8
96159,849,7887000,7887999,(DISPONIBLE),8
96160,849,7888000,7888499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96161,849,8027100,8027199,(DISPONIBLE),8
96162,849,9121000,9121499,(DISPONIBLE),8
96163,918,7889000,7889499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96164,918,8035300,8035399,(DISPONIBLE),8
96165,918,9195000,9195499,(DISPONIBLE),8
96166,858,7890000,7890599,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96167,858,7891000,7891999,(DISPONIBLE),8
96168,858,8028500,8028599,(DISPONIBLE),8
96170,858,9132100,9132999,(DISPONIBLE),8
96171,1621,7898000,7898499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96172,1621,8033900,8033999,(DISPONIBLE),8
96173,1621,9179000,9179499,(DISPONIBLE),8
96174,1745,7899000,7899999,(DISPONIBLE),8
96175,1745,8034000,8034099,(DISPONIBLE),8
96176,1745,9179500,9179999,(DISPONIBLE),8
96177,2121,8020000,8025299,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96178,2121,8036600,8099999,(DISPONIBLE),8
96179,1737,8029100,8029199,(DISPONIBLE),8
96180,1737,9137500,9137999,(DISPONIBLE),8
96181,975,8302500,8302999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96182,975,8970800,8970899,(DISPONIBLE),8
96183,1746,8305000,8305499,(DISPONIBLE),8
96184,1746,8305500,8305699,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96185,1746,8305700,8305999,(DISPONIBLE),8
96186,1746,8973100,8973199,(DISPONIBLE),8
96187,971,8307000,8307499,TELMEX COLOMBIA S.A.,8
96188,971,8317000,8317999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96189,971,8970600,8970699,(DISPONIBLE),8
96190,995,8310000,8310499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96191,995,8973700,8973799,(DISPONIBLE),8
96192,989,8311500,8311999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96193,989,8973600,8973699,(DISPONIBLE),8
96194,1010,8313000,8313999,(DISPONIBLE),8
96195,1010,8323000,8323999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96196,1010,8970300,8970399,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96197,1010,8974300,8974399,(DISPONIBLE),8
96198,1015,8314000,8314199,TELMEX COLOMBIA S.A.,8
96199,1015,8324000,8324999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96200,1015,8974500,8974599,(DISPONIBLE),8
96201,1003,8315500,8315999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96202,1003,8974000,8974099,(DISPONIBLE),8
96203,980,8319500,8319999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96204,980,8973000,8973099,(DISPONIBLE),8
96205,986,8320000,8320999,(DISPONIBLE),8
96206,986,8321000,8321599,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96207,986,8973200,8973299,(DISPONIBLE),8
96208,972,8322000,8322499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96209,972,8970700,8970799,(DISPONIBLE),8
96210,985,8325000,8326999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96211,985,8348000,8349999,EMPRESA DE RECURSOS TECNOLOGICOS S.A E.S.P.,8
96212,985,8423000,8425999,(DISPONIBLE),8
96213,1004,8327000,8327999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96214,1004,8427000,8427999,(DISPONIBLE),8
96215,1004,8974100,8974199,(DISPONIBLE),8
96216,1499,8328000,8328999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96217,1499,8428000,8428999,(DISPONIBLE),8
96218,1499,8970000,8970099,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96219,1499,8973500,8973599,(DISPONIBLE),8
96220,1007,8329000,8329999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96221,1007,8412000,8412999,(DISPONIBLE),8
96222,1007,8413000,8413699,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96223,1007,8974600,8974699,(DISPONIBLE),8
96224,984,8330000,8339999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96225,984,8340000,8340199,TELMEX COLOMBIA S.A.,8
96226,984,8342000,8342999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96227,984,8343000,8347999,(DISPONIBLE),8
96228,984,8430000,8439999,(DISPONIBLE),8
96229,1005,8350000,8354499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96230,1005,8354500,8354999,(DISPONIBLE),8
96231,1005,8355000,8356999,EMPRESA DE RECURSOS TECNOLOGICOS S.A E.S.P.,8
96232,1005,8357000,8357499,TELMEX COLOMBIA S.A.,8
96233,1005,8360000,8369999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96234,1005,8450000,8459999,(DISPONIBLE),8
